Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
10FTHF5GLUtl	5-glutamyl-10FTHF transport, lysosomal	10fthf5glu[c]  -> 10fthf5glu[l] 		0	  0.00	1000.00	  0.00
10FTHF5GLUtm	5-glutamyl-10FTHF transport, mitochondrial	10fthf5glu[m]  -> 10fthf5glu[c] 		0	  0.00	1000.00	  0.00
10FTHF6GLUtl	6-glutamyl-10FTHF transport, lysosomal	10fthf6glu[c]  -> 10fthf6glu[l] 		0	  0.00	1000.00	  0.00
10FTHF6GLUtm	6-glutamyl-10FTHF transport, mitochondrial	10fthf6glu[m]  -> 10fthf6glu[c] 		0	  0.00	1000.00	  0.00
10FTHF7GLUtl	7-glutamyl-10FTHF transport, lysosomal	10fthf7glu[c]  -> 10fthf7glu[l] 		0	  0.00	1000.00	  0.00
10FTHF7GLUtm	7-glutamyl-10FTHF transport, mitochondrial	10fthf7glu[m]  -> 10fthf7glu[c] 		0	  0.00	1000.00	  0.00
10FTHFtl	10-Formyltetrahydrofolate lysosomal transport via diffusion	10fthf[c]  <=> 10fthf[l] 		1	-1000.00	1000.00	  0.00
10FTHFtm	10-Formyltetrahydrofolate mitochondrial transport via diffusion	10fthf[c]  <=> 10fthf[m] 		1	-1000.00	1000.00	  0.00
1MNCAMti	N1-Methylnicotinamide transport	h2o[c] + 1mncam[c] + atp[c]  -> 1mncam[e] + adp[c] + h[c] + pi[c] 		0	  0.00	1000.00	  0.00
24_25DHVITD2t	24,25-Dihydroxyvitamin D2 transport from cytoplasm	2425dhvitd2[c]  -> 2425dhvitd2[e] 		0	  0.00	1000.00	  0.00
24_25DHVITD2tm	24,25-Dihydroxyvitamin D2 transport from mitochondria	2425dhvitd2[m]  -> 2425dhvitd2[c] 		0	  0.00	1000.00	  0.00
24_25DHVITD3t	24,25-Dihydroxyvitamin D3 transport from cytoplasm	2425dhvitd3[c]  -> 2425dhvitd3[e] 		0	  0.00	1000.00	  0.00
24_25DHVITD3tm	24,25-Dihydroxyvitamin D3 transport from mitochondria	2425dhvitd3[m]  -> 2425dhvitd3[c] 		0	  0.00	1000.00	  0.00
24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)	h[m] + nadph[m] + o2[m] + 25hvitd2[m]  -> 2425dhvitd2[m] + h2o[m] + nadp[m] 	(1591.1)	0	  0.00	1000.00	  0.00
24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)	h[m] + nadph[m] + o2[m] + 25hvitd3[m]  -> h2o[m] + nadp[m] + 2425dhvitd3[m] 	(1591.1)	0	  0.00	1000.00	  0.00
25HVITD2t	25-hydroxyvitamin D2 transport from cytoplasm	25hvitd2[c]  -> 25hvitd2[e] 		0	  0.00	1000.00	  0.00
25HVITD2tin	25-hydroxyvitamin D2 transport in cytoplasm	25hvitd2[e]  -> 25hvitd2[c] 		0	  0.00	1000.00	  0.00
25HVITD2tin_m	25-hydroxyvitamin D2 transport in mitochondria	25hvitd2[c]  -> 25hvitd2[m] 		0	  0.00	1000.00	  0.00
25HVITD2tm	25-hydroxyvitamin D2 transport from mitochondria	25hvitd2[m]  -> 25hvitd2[c] 		0	  0.00	1000.00	  0.00
25HVITD3t	25-hydroxyvitamin D3 transport from cytoplasm	25hvitd3[c]  -> 25hvitd3[e] 		0	  0.00	1000.00	  0.00
25HVITD3tin	25-hydroxyvitamin D3 transport in cytoplasm	25hvitd3[e]  -> 25hvitd3[c] 		0	  0.00	1000.00	  0.00
25HVITD3tin_m	25-hydroxyvitamin D3 transport in mitochondria	25hvitd3[c]  -> 25hvitd3[m] 		0	  0.00	1000.00	  0.00
25HVITD3tm	25-hydroxyvitamin D3 transport from mitochondria	25hvitd3[m]  -> 25hvitd3[c] 		0	  0.00	1000.00	  0.00
2DR1PP	2-deoxy-D-ribose 1-phosphate phosphorylase	h2o[c] + 2dr1p[c]  -> pi[c] + drib[c] 		0	  0.00	1000.00	  0.00
2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase	2hb[c] + nad[c]  <=> h[c] + 2obut[c] + nadh[c] 	(92483.1) or (3948.2) or (55293.1) or (3945.1 and 3939.1) or (3939.1) or (160287.1) or (3945.1) or (3948.1)	1	-1000.00	1000.00	  0.00
2HBt2	2-hydroxybutyrate cotransport with proton	2hb[e] + h[e]  <=> h[c] + 2hb[c] 	(9123.1) or (9194.1) or (6566.1)	1	-1000.00	1000.00	  0.00
2HCO3_NAt	bicarbonate transport (Na/HCO3 1:2 cotransport)	2 hco3[e] + na1[e]  <=> 2 hco3[c] + na1[c] 	(57835.3) or (8671.1) or (57835.2) or (57835.1) or (57835.4)	1	-1000.00	1000.00	  0.00
2MCITt	2-methylcitrate transport via diffusion	2mcit[c]  <=> 2mcit[e] 		1	-1000.00	1000.00	  0.00
